,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
0,8/12/2023,21:00,Ligue 1,Matchweek 1,Sat,Home,D,0,0,Lorient,1.2,0.1,78,47000,Danilo Pereira,3/3/2004,Bastien Dechepy,Match Report,,20,4,18.9,1,0,0,2024,Paris Saint Germain
1,8/19/2023,21:00,Ligue 1,Matchweek 2,Sat,Away,D,1,1,Toulouse,2.1,1.2,76,27332,Marquinhos,3/3/2004,Thomas Léonard,Match Report,,15,2,15.9,0,1,1,2024,Paris Saint Germain
2,8/26/2023,21:00,Ligue 1,Matchweek 3,Sat,Home,W,3,1,Lens,1.5,0.5,66,47864,Marquinhos,4/2/2004,François Letexier,Match Report,,17,6,19.9,1,0,0,2024,Paris Saint Germain
3,9/3/2023,20:45,Ligue 1,Matchweek 4,Sun,Away,W,4,1,Lyon,4.5,2.1,69,51657,Marquinhos,4/2/2004,Eric Wattellier,Match Report,,21,7,16,0,1,1,2024,Paris Saint Germain
4,9/15/2023,21:00,Ligue 1,Matchweek 5,Fri,Home,L,2,3,Nice,1,1.3,69,47874,Kylian Mbappé,3/3/2004,Clément Turpin,Match Report,,12,3,20.6,1,0,0,2024,Paris Saint Germain
6,9/24/2023,20:45,Ligue 1,Matchweek 6,Sun,Home,W,4,0,Marseille,1.9,0.7,76,47000,Marquinhos,4/2/2004,Willy Delajod,Match Report,,15,5,18.5,2,0,0,2024,Paris Saint Germain
7,9/30/2023,17:00,Ligue 1,Matchweek 7,Sat,Away,D,0,0,Clermont Foot,3,1,67,10757,Marquinhos,4/2/2004,Marc Bollengier,Match Report,,21,10,16.7,0,0,0,2024,Paris Saint Germain
9,10/8/2023,20:45,Ligue 1,Matchweek 8,Sun,Away,W,3,1,Rennes,3.5,1.1,58,27734,Marquinhos,3/3/2004,Benoît Bastien,Match Report,,17,7,15.5,1,0,0,2024,Paris Saint Germain
10,10/21/2023,17:00,Ligue 1,Matchweek 9,Sat,Home,W,3,0,Strasbourg,2,0.4,76,41261,Marquinhos,4-2-2-2,Bastien Dechepy,Match Report,,7,3,14.1,0,1,1,2024,Paris Saint Germain
12,10/29/2023,13:00,Ligue 1,Matchweek 10,Sun,Away,W,3,2,Brest,2.1,1.8,56,15183,Kylian Mbappé,4-2-2-2,Jérôme Brisard,Match Report,,16,9,18.2,0,0,1,2024,Paris Saint Germain
13,11/3/2023,21:00,Ligue 1,Matchweek 11,Fri,Home,W,3,0,Montpellier,1.1,0.5,70,47647,Marquinhos,4-2-2-2,Ruddy Buquet,Match Report,,21,9,18.7,1,0,0,2024,Paris Saint Germain
15,11/11/2023,17:00,Ligue 1,Matchweek 12,Sat,Away,W,3,0,Reims,2.3,1.3,61,20500,Marquinhos,4-2-2-2,Willy Delajod,Match Report,,14,6,16,0,0,0,2024,Paris Saint Germain
16,11/24/2023,21:00,Ligue 1,Matchweek 13,Fri,Home,W,5,2,Monaco,2.6,1.6,54,47896,Kylian Mbappé,3/3/2004,Benoît Bastien,Match Report,,15,10,16.2,0,1,1,2024,Paris Saint Germain
18,12/3/2023,13:00,Ligue 1,Matchweek 14,Sun,Away,W,2,0,Le Havre,1.2,2,39,23718,Kylian Mbappé,3/3/2004,Bastien Dechepy,Match Report,,9,5,18.2,0,0,0,2024,Paris Saint Germain
19,12/9/2023,21:00,Ligue 1,Matchweek 15,Sat,Home,W,2,1,Nantes,2,0.5,65,47926,Marquinhos,3/3/2004,Jérôme Brisard,Match Report,,16,6,15.3,0,0,0,2024,Paris Saint Germain
21,12/17/2023,20:45,Ligue 1,Matchweek 16,Sun,Away,D,1,1,Lille,1.4,1.4,59,47993,Marquinhos,4/3/2003,Willy Delajod,Match Report,,9,1,18.2,0,1,1,2024,Paris Saint Germain
22,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Home,W,3,1,Metz,2.4,0.1,74,48229,Marquinhos,4/3/2003,Ruddy Buquet,Match Report,,13,5,16.8,1,0,0,2024,Paris Saint Germain
25,1/14/2024,20:45,Ligue 1,Matchweek 18,Sun,Away,W,2,0,Lens,1.8,2.1,65,38200,Marquinhos,3/3/2004,Jérôme Brisard,Match Report,,15,7,16.4,1,0,0,2024,Paris Saint Germain
27,1/28/2024,20:45,Ligue 1,Matchweek 19,Sun,Home,D,2,2,Brest,2.1,0.7,54,47000,Kylian Mbappé,3/3/2004,Clément Turpin,Match Report,,10,4,14.1,0,0,0,2024,Paris Saint Germain
28,2/2/2024,21:00,Ligue 1,Matchweek 20,Fri,Away,W,2,1,Strasbourg,2,2.7,62,25834,Marquinhos,3/3/2004,Ruddy Buquet,Match Report,,8,4,23.7,0,0,1,2024,Paris Saint Germain
30,2/10/2024,21:00,Ligue 1,Matchweek 21,Sat,Home,W,3,1,Lille,2.8,1.2,52,47000,Danilo Pereira,4-1-4-1,François Letexier,Match Report,,16,8,18,1,0,0,2024,Paris Saint Germain
32,2/17/2024,21:00,Ligue 1,Matchweek 22,Sat,Away,W,2,0,Nantes,1.5,1.3,77,34038,Marquinhos,3/3/2004,Jérôme Brisard,Match Report,,11,1,19.5,0,1,1,2024,Paris Saint Germain
33,2/25/2024,17:05,Ligue 1,Matchweek 23,Sun,Home,D,1,1,Rennes,1.9,0.8,66,47874,Kylian Mbappé,3/3/2004,Bastien Dechepy,Match Report,,14,2,19.8,1,1,1,2024,Paris Saint Germain
34,3/1/2024,21:00,Ligue 1,Matchweek 24,Fri,Away,D,0,0,Monaco,1.5,1.6,68,,Kylian Mbappé,3/3/2004,Ruddy Buquet,Match Report,,14,7,17.9,1,0,0,2024,Paris Saint Germain
0,8/13/2023,13:00,Ligue 1,Matchweek 1,Sun,Home,W,3,2,Lens,2.5,0.7,48,15085,Brendan Chardonnet,4-2-3-1,Jérémie Pignard,Match Report,,13,6,20.9,1,2,2,2024,Brest
1,8/20/2023,15:00,Ligue 1,Matchweek 2,Sun,Away,W,2,1,Le Havre,1.1,1.2,44,19574,Brendan Chardonnet,3/3/2004,Florent Batta,Match Report,,10,5,15.4,0,0,0,2024,Brest
2,8/26/2023,19:00,Ligue 1,Matchweek 3,Sat,Away,L,0,2,Marseille,1.5,2.9,56,63592,Brendan Chardonnet,3/3/2004,Jeremy Stinat,Match Report,,18,6,16.7,0,0,0,2024,Brest
3,9/2/2023,17:00,Ligue 1,Matchweek 4,Sat,Home,D,0,0,Rennes,1.4,0.3,48,15021,Brendan Chardonnet,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,13,2,17.4,1,0,0,2024,Brest
4,9/17/2023,15:00,Ligue 1,Matchweek 5,Sun,Away,W,2,1,Reims,1.5,1.7,48,12948,Brendan Chardonnet,3/3/2004,Gaël Angoula,Match Report,,18,5,17.5,1,0,0,2024,Brest
5,9/23/2023,21:00,Ligue 1,Matchweek 6,Sat,Home,W,1,0,Lyon,2.4,0.4,57,14636,Brendan Chardonnet,4-2-3-1,Thomas Léonard,Match Report,,27,11,15.6,0,0,0,2024,Brest
6,10/1/2023,15:00,Ligue 1,Matchweek 7,Sun,Away,D,0,0,Nice,0.2,1.1,46,32044,Brendan Chardonnet,4-2-3-1,Romain Lissorgue,Match Report,,7,2,28.9,1,0,0,2024,Brest
7,10/8/2023,15:00,Ligue 1,Matchweek 8,Sun,Home,D,1,1,Toulouse,1.5,1.2,55,13549,Brendan Chardonnet,4-2-3-1,Pierre Gaillouste,Match Report,,13,2,15.4,0,0,0,2024,Brest
8,10/22/2023,15:00,Ligue 1,Matchweek 9,Sun,Away,L,0,1,Lille,0.8,1.6,57,34358,Brendan Chardonnet,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,9,1,18.4,1,0,0,2024,Brest
9,10/29/2023,13:00,Ligue 1,Matchweek 10,Sun,Home,L,2,3,Paris S-G,1.8,2.1,44,15183,Brendan Chardonnet,4-2-3-1,Jérôme Brisard,Match Report,,21,5,16.2,0,0,0,2024,Brest
10,11/5/2023,17:05,Ligue 1,Matchweek 11,Sun,Away,L,0,2,Monaco,0.8,0.8,54,9244,Brendan Chardonnet,3/3/2004,Eric Wattellier,Match Report,,15,1,17,0,0,0,2024,Brest
11,11/26/2023,15:00,Ligue 1,Matchweek 13,Sun,Away,W,3,1,Montpellier,1.7,1.7,47,12311,Brendan Chardonnet,3/3/2004,Pierre Gaillouste,Match Report,,17,5,16.6,0,0,0,2024,Brest
12,12/3/2023,15:00,Ligue 1,Matchweek 14,Sun,Home,W,3,0,Clermont Foot,1.4,0.8,57,14324,Brendan Chardonnet,3/3/2004,Marc Bollengier,Match Report,,11,6,22.4,0,1,1,2024,Brest
13,12/7/2023,20:30,Ligue 1,Matchweek 12,Thu,Home,D,1,1,Strasbourg,1.1,1.5,61,14569,Hugo Magnetti,3/3/2004,Jérémie Pignard,Match Report,,13,3,17,0,0,0,2024,Brest
14,12/10/2023,15:00,Ligue 1,Matchweek 15,Sun,Away,W,1,0,Metz,0.3,0.2,67,20157,Brendan Chardonnet,3/3/2004,Romain Lissorgue,Match Report,,4,3,17.2,0,0,0,2024,Brest
15,12/17/2023,13:00,Ligue 1,Matchweek 16,Sun,Away,W,2,0,Nantes,1.9,1,49,30075,Brendan Chardonnet,3/3/2004,Benoît Millot,Match Report,,14,7,13.9,0,0,0,2024,Brest
16,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Home,W,4,0,Lorient,2,0.5,59,14544,Brendan Chardonnet,3/3/2004,Mathieu Vernice,Match Report,,11,7,17.7,0,0,0,2024,Brest
18,1/14/2024,15:00,Ligue 1,Matchweek 18,Sun,Home,W,2,0,Montpellier,3.4,0.4,65,12712,Brendan Chardonnet,3/3/2004,Jérémie Pignard,Match Report,,26,9,16.9,0,0,0,2024,Brest
20,1/28/2024,20:45,Ligue 1,Matchweek 19,Sun,Away,D,2,2,Paris S-G,0.7,2.1,46,47000,Brendan Chardonnet,3/3/2004,Clément Turpin,Match Report,,9,6,17.5,1,0,0,2024,Brest
21,2/4/2024,17:05,Ligue 1,Matchweek 20,Sun,Home,D,0,0,Nice,1,0.7,53,14500,Brendan Chardonnet,3/3/2004,Jeremy Stinat,Match Report,,17,2,21.1,0,0,0,2024,Brest
23,2/11/2024,15:00,Ligue 1,Matchweek 21,Sun,Away,D,1,1,Clermont Foot,1.5,1.2,54,8893,Brendan Chardonnet,4-2-3-1,Stéphanie Frappart,Match Report,,16,9,16,1,0,0,2024,Brest
24,2/18/2024,20:45,Ligue 1,Matchweek 22,Sun,Home,W,1,0,Marseille,1.7,0.6,42,13800,Brendan Chardonnet,4-2-3-1,Ruddy Buquet,Match Report,,15,5,16.3,0,0,0,2024,Brest
25,2/24/2024,21:00,Ligue 1,Matchweek 23,Sat,Away,W,3,0,Strasbourg,1.8,0.2,52,25140,Brendan Chardonnet,4-2-3-1,Jérôme Brisard,Match Report,,14,7,20.5,0,1,1,2024,Brest
0,8/13/2023,15:00,Ligue 1,Matchweek 1,Sun,Away,W,4,2,Clermont Foot,2.5,1.8,45,10453,Wissam Ben Yedder,4/3/2003,François Letexier,Match Report,,14,8,14.7,0,0,0,2024,Monaco
1,8/20/2023,19:00,Ligue 1,Matchweek 2,Sun,Home,W,3,0,Strasbourg,0.9,0.5,56,10100,Wissam Ben Yedder,4/3/2003,Ruddy Buquet,Match Report,,9,4,18.1,0,0,0,2024,Monaco
2,8/25/2023,21:00,Ligue 1,Matchweek 3,Fri,Away,D,3,3,Nantes,3.3,1,65,28429,Wissam Ben Yedder,4/3/2003,Jérémie Pignard,Match Report,,27,9,17.4,1,0,0,2024,Monaco
3,9/2/2023,21:00,Ligue 1,Matchweek 4,Sat,Home,W,3,0,Lens,0.9,0.6,52,9600,Wissam Ben Yedder,4/3/2003,Willy Delajod,Match Report,,12,6,19,0,0,0,2024,Monaco
4,9/17/2023,13:00,Ligue 1,Matchweek 5,Sun,Away,D,2,2,Lorient,1.7,0.9,59,15247,Wissam Ben Yedder,4/3/2003,Marc Bollengier,Match Report,,20,6,15.9,0,0,0,2024,Monaco
5,9/22/2023,21:00,Ligue 1,Matchweek 6,Fri,Home,L,0,1,Nice,1.8,0.9,55,10075,Youssouf Fofana,4/3/2003,Benoît Millot,Match Report,,7,1,23.5,0,0,2,2024,Monaco
6,9/30/2023,21:00,Ligue 1,Matchweek 7,Sat,Home,W,3,2,Marseille,1,1,46,10200,Wissam Ben Yedder,3-4-1-2,Benoît Bastien,Match Report,,10,7,15.9,0,0,0,2024,Monaco
7,10/7/2023,21:00,Ligue 1,Matchweek 8,Sat,Away,W,3,1,Reims,1.2,1.5,46,19000,Wissam Ben Yedder,3-4-1-2,Hakim Ben El Hadj Salem,Match Report,,11,4,13.3,0,0,0,2024,Monaco
8,10/22/2023,17:05,Ligue 1,Matchweek 9,Sun,Home,W,2,1,Metz,2,1,75,6200,Wissam Ben Yedder,4-2-2-2,Romain Lissorgue,Match Report,,27,13,20,1,0,0,2024,Monaco
9,10/29/2023,15:00,Ligue 1,Matchweek 10,Sun,Away,L,0,2,Lille,0.6,0.5,59,40046,Wissam Ben Yedder,4-1-3-2,Clément Turpin,Match Report,,16,6,20,2,0,0,2024,Monaco
10,11/5/2023,17:05,Ligue 1,Matchweek 11,Sun,Home,W,2,0,Brest,0.8,0.8,46,9244,Youssouf Fofana,4/3/2003,Eric Wattellier,Match Report,,12,6,17,0,0,0,2024,Monaco
11,11/11/2023,21:00,Ligue 1,Matchweek 12,Sat,Away,D,0,0,Le Havre,0.6,1.4,62,23008,Wissam Ben Yedder,4/3/2003,Thomas Léonard,Match Report,,10,4,22.5,0,0,0,2024,Monaco
12,11/24/2023,21:00,Ligue 1,Matchweek 13,Fri,Away,L,2,5,Paris S-G,1.6,2.6,46,47896,Guillermo Maripán,4/3/2003,Benoît Bastien,Match Report,,14,7,16.3,0,0,0,2024,Monaco
13,12/3/2023,15:00,Ligue 1,Matchweek 14,Sun,Home,W,2,0,Montpellier,2.2,0.9,63,4599,Guillermo Maripán,4-2-3-1,Jeremy Stinat,Match Report,,27,9,18.3,0,0,0,2024,Monaco
14,12/9/2023,17:00,Ligue 1,Matchweek 15,Sat,Away,W,2,1,Rennes,0.9,1.7,53,26856,Youssouf Fofana,4/3/2003,Clément Turpin,Match Report,,12,5,16.7,1,0,0,2024,Monaco
15,12/15/2023,21:00,Ligue 1,Matchweek 16,Fri,Home,L,0,1,Lyon,1.3,0.7,60,6000,Youssouf Fofana,4/3/2003,Ruddy Buquet,Match Report,,19,4,18.4,0,0,0,2024,Monaco
16,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Away,W,2,1,Toulouse,1.9,1.4,45,23881,Wissam Ben Yedder,5/2/2003,Jérôme Brisard,Match Report,,11,3,19.7,1,1,1,2024,Monaco
18,1/13/2024,17:00,Ligue 1,Matchweek 18,Sat,Home,L,1,3,Reims,1.2,1.5,56,4231,Wissam Ben Yedder,4/3/2003,François Letexier,Match Report,,9,5,18.1,1,0,0,2024,Monaco
20,1/27/2024,21:00,Ligue 1,Matchweek 19,Sat,Away,D,2,2,Marseille,0.5,2.4,32,63029,Wissam Ben Yedder,4/3/2003,Willy Delajod,Match Report,,6,5,19.7,0,0,0,2024,Monaco
21,2/4/2024,13:00,Ligue 1,Matchweek 20,Sun,Home,D,1,1,Le Havre,1.4,0.1,61,9047,Wissam Ben Yedder,5/2/2003,Jérôme Brisard,Match Report,,17,5,15.3,0,0,0,2024,Monaco
23,2/11/2024,20:45,Ligue 1,Matchweek 21,Sun,Away,W,3,2,Nice,1.7,2.1,53,24788,Wissam Ben Yedder,3/3/2004,Eric Wattellier,Match Report,,9,5,15.6,0,0,0,2024,Monaco
24,2/18/2024,15:00,Ligue 1,Matchweek 22,Sun,Home,L,1,2,Toulouse,1.7,1.4,65,4702,Denis Zakaria,3/3/2004,Benoît Bastien,Match Report,,22,5,18.3,0,0,0,2024,Monaco
25,2/25/2024,13:00,Ligue 1,Matchweek 23,Sun,Away,W,3,2,Lens,2.3,2.9,40,37992,Wissam Ben Yedder,4/2/2004,François Letexier,Match Report,,14,7,18.1,0,0,1,2024,Monaco
26,3/1/2024,21:00,Ligue 1,Matchweek 24,Fri,Home,D,0,0,Paris S-G,1.6,1.5,32,,Wissam Ben Yedder,4/2/2004,Ruddy Buquet,Match Report,,14,6,14.1,0,0,0,2024,Monaco
0,8/11/2023,21:00,Ligue 1,Matchweek 1,Fri,Away,D,1,1,Nice,1.3,1.2,60,29436,Benjamin André,4-2-3-1,Benoît Bastien,Match Report,,12,5,16.9,0,0,0,2024,Lille
1,8/20/2023,13:00,Ligue 1,Matchweek 2,Sun,Home,W,2,0,Nantes,2.2,1.1,64,34356,Benjamin André,4-2-3-1,Pierre Gaillouste,Match Report,,18,7,15.2,2,0,0,2024,Lille
3,8/27/2023,17:05,Ligue 1,Matchweek 3,Sun,Away,L,1,4,Lorient,1.1,1.6,64,15101,Benjamin André,4-2-3-1,Willy Delajod,Match Report,,18,7,20.2,2,0,0,2024,Lille
5,9/3/2023,15:00,Ligue 1,Matchweek 4,Sun,Home,W,1,0,Montpellier,1.2,0.3,58,35298,Benjamin André,4/3/2003,Benoît Millot,Match Report,,15,6,17,1,0,0,2024,Lille
6,9/16/2023,17:00,Ligue 1,Matchweek 5,Sat,Away,D,2,2,Rennes,1,0.5,53,28178,Benjamin André,4-2-3-1,Jérôme Brisard,Match Report,,10,6,14.9,0,0,0,2024,Lille
8,9/26/2023,21:00,Ligue 1,Matchweek 6,Tue,Home,L,1,2,Reims,1.2,0.5,69,33075,Benjamin André,4-2-3-1,Jérémie Pignard,Match Report,,14,3,14.2,0,0,0,2024,Lille
9,10/1/2023,15:00,Ligue 1,Matchweek 7,Sun,Away,W,2,0,Le Havre,1.2,0.8,62,21919,Benjamin André,4-2-3-1,Bastien Dechepy,Match Report,,16,6,16,0,0,0,2024,Lille
11,10/8/2023,17:05,Ligue 1,Matchweek 8,Sun,Away,D,1,1,Lens,1.7,2,55,37223,Benjamin André,4-2-3-1,Benoît Millot,Match Report,,8,3,15,1,0,0,2024,Lille
12,10/22/2023,15:00,Ligue 1,Matchweek 9,Sun,Home,W,1,0,Brest,1.6,0.8,43,34358,Benjamin André,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,6,4,11.9,0,0,0,2024,Lille
14,10/29/2023,15:00,Ligue 1,Matchweek 10,Sun,Home,W,2,0,Monaco,0.5,0.6,41,40046,Benjamin André,4-2-3-1,Clément Turpin,Match Report,,7,5,21.1,2,0,0,2024,Lille
15,11/4/2023,21:00,Ligue 1,Matchweek 11,Sat,Away,D,0,0,Marseille,0.3,0.8,54,63674,Benjamin André,4-2-3-1,Stéphanie Frappart,Match Report,,10,1,22.7,0,0,0,2024,Lille
17,11/12/2023,15:00,Ligue 1,Matchweek 12,Sun,Home,D,1,1,Toulouse,2.5,0.1,60,34959,Benjamin André,4-2-3-1,Mathieu Vernice,Match Report,,14,5,13.2,1,0,0,2024,Lille
18,11/26/2023,20:45,Ligue 1,Matchweek 13,Sun,Away,W,2,0,Lyon,1.5,1.9,52,40029,Jonathan David,4-2-3-1,Eric Wattellier,Match Report,,15,8,17,1,0,0,2024,Lille
20,12/3/2023,17:05,Ligue 1,Matchweek 14,Sun,Home,W,2,0,Metz,2.9,1.9,65,38065,Rémy Cabella,4-2-3-1,Gaël Angoula,Match Report,,15,5,16.2,0,1,1,2024,Lille
21,12/10/2023,15:00,Ligue 1,Matchweek 15,Sun,Away,D,0,0,Clermont Foot,1,1.3,53,8789,Benjamin André,4-2-3-1,Florent Batta,Match Report,,12,3,19.3,1,0,0,2024,Lille
23,12/17/2023,20:45,Ligue 1,Matchweek 16,Sun,Home,D,1,1,Paris S-G,1.4,1.4,41,47993,Benjamin André,4-2-3-1,Willy Delajod,Match Report,,15,3,16.4,1,0,0,2024,Lille
24,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Away,L,1,2,Strasbourg,0.5,0.8,68,25373,Benjamin André,4-2-3-1,Clément Turpin,Match Report,,9,2,18.2,1,0,0,2024,Lille
26,1/14/2024,13:00,Ligue 1,Matchweek 18,Sun,Home,W,3,0,Lorient,2.3,0.1,63,35204,Benjamin André,4-2-3-1,Pierre Gaillouste,Match Report,,24,10,19.3,4,0,0,2024,Lille
28,1/28/2024,13:00,Ligue 1,Matchweek 19,Sun,Away,D,0,0,Montpellier,0.5,0.7,61,12575,Benjamin André,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,12,0,21.2,0,0,0,2024,Lille
29,2/4/2024,15:00,Ligue 1,Matchweek 20,Sun,Home,W,4,0,Clermont Foot,2.9,0.4,60,38597,Benjamin André,4-2-3-1,Bastien Dechepy,Match Report,,23,13,19.7,0,0,0,2024,Lille
31,2/10/2024,21:00,Ligue 1,Matchweek 21,Sat,Away,L,1,3,Paris S-G,1.2,2.8,48,47000,Benjamin André,4-2-3-1,François Letexier,Match Report,,10,3,15.9,0,0,0,2024,Lille
32,2/17/2024,17:00,Ligue 1,Matchweek 22,Sat,Home,W,3,0,Le Havre,3.8,0.6,61,40317,Benjamin André,4-2-3-1,Jérémie Pignard,Match Report,,16,7,12.9,0,0,1,2024,Lille
33,2/25/2024,15:00,Ligue 1,Matchweek 23,Sun,Away,L,1,3,Toulouse,0.6,2.1,68,24124,Jonathan David,4-2-3-1,Mathieu Vernice,Match Report,,12,2,19.2,0,0,0,2024,Lille
34,3/2/2024,17:00,Ligue 1,Matchweek 24,Sat,Away,W,1,0,Reims,1,0.7,42,16452,Benjamin André,3/3/2004,Jeremy Stinat,Match Report,,8,3,20.1,0,0,0,2024,Lille
0,8/11/2023,21:00,Ligue 1,Matchweek 1,Fri,Home,D,1,1,Lille,1.2,1.3,40,29436,Dante,3/3/2004,Benoît Bastien,Match Report,,8,3,17.5,1,0,0,2024,Nice
1,8/20/2023,15:00,Ligue 1,Matchweek 2,Sun,Away,D,1,1,Lorient,1.7,0.8,59,15848,Dante,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,21,8,17.9,1,0,0,2024,Nice
2,8/27/2023,20:45,Ligue 1,Matchweek 3,Sun,Home,D,0,0,Lyon,1.9,0.2,58,28033,Dante,3/3/2004,Bastien Dechepy,Match Report,,21,4,20,1,0,0,2024,Nice
3,9/3/2023,17:05,Ligue 1,Matchweek 4,Sun,Home,W,2,0,Strasbourg,2.2,0.2,62,20215,Dante,3/3/2004,Jeremy Stinat,Match Report,,16,6,16.8,0,0,0,2024,Nice
4,9/15/2023,21:00,Ligue 1,Matchweek 5,Fri,Away,W,3,2,Paris S-G,1.3,1,31,47874,Dante,3/3/2004,Clément Turpin,Match Report,,14,8,17,0,0,0,2024,Nice
5,9/22/2023,21:00,Ligue 1,Matchweek 6,Fri,Away,W,1,0,Monaco,0.9,1.8,45,10075,Dante,3/3/2004,Benoît Millot,Match Report,,13,7,16.1,0,0,0,2024,Nice
6,10/1/2023,15:00,Ligue 1,Matchweek 7,Sun,Home,D,0,0,Brest,1.1,0.2,54,32044,Dante,3/3/2004,Romain Lissorgue,Match Report,,12,1,17.4,1,0,0,2024,Nice
7,10/7/2023,17:00,Ligue 1,Matchweek 8,Sat,Away,W,1,0,Metz,1.4,0.4,68,23160,Dante,3/3/2004,Jérôme Brisard,Match Report,,7,4,13.8,0,0,0,2024,Nice
8,10/21/2023,21:00,Ligue 1,Matchweek 9,Sat,Home,W,1,0,Marseille,0.6,1.1,50,31423,Dante,3/3/2004,Ruddy Buquet,Match Report,,10,2,19.1,0,0,0,2024,Nice
9,10/27/2023,21:00,Ligue 1,Matchweek 10,Fri,Away,W,1,0,Clermont Foot,2.2,0.5,55,10800,Dante,3/3/2004,Jérémie Pignard,Match Report,,11,4,16.9,0,0,1,2024,Nice
10,11/5/2023,20:45,Ligue 1,Matchweek 11,Sun,Home,W,2,0,Rennes,1.6,0.8,46,22430,Dante,3/3/2004,Clément Turpin,Match Report,,15,3,14.1,1,0,0,2024,Nice
11,11/10/2023,21:00,Ligue 1,Matchweek 12,Fri,Away,D,0,0,Montpellier,0.7,0.5,59,13452,Dante,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,15,3,18,0,0,0,2024,Nice
12,11/26/2023,13:00,Ligue 1,Matchweek 13,Sun,Home,W,1,0,Toulouse,1,1.3,53,21849,Dante,3/3/2004,François Letexier,Match Report,,8,2,17.3,0,0,0,2024,Nice
13,12/2/2023,21:00,Ligue 1,Matchweek 14,Sat,Away,L,0,1,Nantes,1.3,1.4,62,26560,Dante,3/3/2004,Ruddy Buquet,Match Report,,13,6,14.1,0,0,0,2024,Nice
14,12/10/2023,13:00,Ligue 1,Matchweek 15,Sun,Home,W,2,1,Reims,0.9,1.3,52,24325,Dante,3/3/2004,Benoît Bastien,Match Report,,15,5,16.9,0,0,0,2024,Nice
15,12/16/2023,17:00,Ligue 1,Matchweek 16,Sat,Away,L,1,3,Le Havre,1.9,2.1,62,21971,Dante,3/3/2004,Jérémie Pignard,Match Report,,13,5,10,0,0,0,2024,Nice
16,12/20/2023,21:00,Ligue 1,Matchweek 17,Wed,Home,W,2,0,Lens,2.5,0.5,41,25041,Dante,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,13,4,14.5,0,1,1,2024,Nice
18,1/13/2024,21:00,Ligue 1,Matchweek 18,Sat,Away,L,0,2,Rennes,0.7,2,56,26689,Dante,3/3/2004,Bastien Dechepy,Match Report,,9,2,15.3,0,0,0,2024,Nice
20,1/27/2024,17:00,Ligue 1,Matchweek 19,Sat,Home,W,1,0,Metz,2.2,0.1,66,20137,Dante,3/3/2004,Stéphanie Frappart,Match Report,,14,8,19.8,1,1,1,2024,Nice
21,2/4/2024,17:05,Ligue 1,Matchweek 20,Sun,Away,D,0,0,Brest,0.7,1,47,14500,Dante,4/3/2003,Jeremy Stinat,Match Report,,13,1,16.9,0,0,0,2024,Nice
23,2/11/2024,20:45,Ligue 1,Matchweek 21,Sun,Home,L,2,3,Monaco,2.1,1.7,47,24788,Dante,3/3/2004,Eric Wattellier,Match Report,,14,4,16.5,0,1,1,2024,Nice
24,2/16/2024,21:00,Ligue 1,Matchweek 22,Fri,Away,L,0,1,Lyon,0.8,1.1,51,48033,Jean-Clair Todibo,3/3/2004,Clément Turpin,Match Report,,20,6,21.2,0,0,0,2024,Nice
25,2/25/2024,15:00,Ligue 1,Matchweek 23,Sun,Home,D,0,0,Clermont Foot,1.6,2,58,22081,Dante,3/3/2004,Hakim Ben El Hadj Salem,Match Report,,23,4,18.4,1,0,0,2024,Nice
1,8/12/2023,17:00,Ligue 1,Matchweek 1,Sat,Home,W,2,1,Reims,1,0.8,42,63787,Valentin Rongier,4/2/2004,Eric Wattellier,Match Report,,14,4,15.8,1,0,0,2024,Marseille
3,8/18/2023,21:00,Ligue 1,Matchweek 2,Fri,Away,D,2,2,Metz,1.9,0.5,57,26661,Valentin Rongier,4/2/2004,Jérôme Brisard,Match Report,,22,5,16,1,0,0,2024,Marseille
4,8/26/2023,19:00,Ligue 1,Matchweek 3,Sat,Home,W,2,0,Brest,2.9,1.5,44,63592,Valentin Rongier,4/2/2004,Jeremy Stinat,Match Report,,15,6,12.9,0,0,0,2024,Marseille
5,9/1/2023,21:00,Ligue 1,Matchweek 4,Fri,Away,D,1,1,Nantes,2.6,0.9,63,34600,Valentin Rongier,4/2/2004,Ruddy Buquet,Match Report,,26,9,17.7,1,0,0,2024,Marseille
6,9/17/2023,17:05,Ligue 1,Matchweek 5,Sun,Home,D,0,0,Toulouse,1.5,0.7,61,63477,Valentin Rongier,4/2/2004,François Letexier,Match Report,,24,6,18.7,3,0,0,2024,Marseille
